,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
63,South Africa,49,65,63,49,782,2.04758894873022,1.98291758652209,3.0438686440479796,2.10925201453857,0.31074168797954,0.323529411764706,0.28516624040920696,0.051150895140664995,7610.0,34.0,Não Informado,-0.1
64,South Korea,60,18,39,85,195,2.24167765516772,1.73161903221688,3.00677466587757,1.0,0.14358974358974402,0.235897435897436,0.18974358974358999,0.0153846153846154,22670.0,83.8,53.62,-1.37
65,Spain,57,51,42,86,1262,1.7911734116121298,1.8731492637272298,2.69957165218432,2.93645528022687,0.245641838351823,0.20522979397781302,0.20443740095087196,0.0229793977812995,30110.0,67.6,57.18,0.54
66,Sweden,31,71,5,29,1861,1.8519484571904299,2.20987962656496,2.8262445213289,2.2541131073325897,0.268672756582483,0.295002686727566,0.281031703385277,0.0354648038688877,56210.0,94.0,67.8,2.35
67,Switzerland,34,68,70,58,999,2.00929839816682,2.2325061216943,3.26843105411135,2.7523375071288996,0.32532532532532504,0.29529529529529497,0.302302302302302,0.0500500500500501,82730.0,85.2,58.29,1.9
68,Taiwan,58,17,45,69,225,1.61115146698462,1.55392380884901,2.04695228708566,1.41421356237309,0.151111111111111,0.151111111111111,0.13777777777777803,0.00888888888888889,Não Informado,Não Informado,52.56,-1.18
69,Tanzania,70,25,40,50,13,1.8612097182042,1.8171205928321401,1.86441053550082,Não Informado,0.23076923076923103,0.307692307692308,0.46153846153846206,0.0,570.0,12.0,Não Informado,Não Informado
70,Thailand,64,20,34,64,201,1.73425683296261,1.70083042313858,2.9042064024610696,3.0,0.258706467661692,0.263681592039801,0.223880597014925,0.0199004975124378,5210.0,23.7,47.79,0.01
71,Turkey,66,37,45,85,791,1.8060646872527297,2.10181813141459,2.61178519900098,3.4567558491016,0.188369152970923,0.255372945638432,0.21744627054361604,0.0252844500632111,10830.0,43.1,47.8,-0.33
72,United Kingdom,35,89,66,35,8972,2.00195132666516,2.41476024208309,3.2418971488125803,2.49841439440032,0.31954971020954104,0.3369371377619261,0.333147570218457,0.048372715113687,38250.0,86.8,Não Informado,1.68
73,United States,40,91,62,46,34219,1.9730528939429701,2.41431861996265,3.1697597480565296,2.6216470079962204,0.30357403781524894,0.304070837838628,0.30573657909348606,0.0456471550892779,50120.0,77.9,Não Informado,1.76
74,Uruguay,61,36,38,100,119,1.41630675199117,1.83850221260479,2.3006722688714905,1.0,0.26890756302520996,0.30252100840336105,0.243697478991597,0.00840336134453781,13510.0,51.4,49.61,0.99
75,Venezuela,81,12,73,76,113,1.5126052484905201,1.27443210634629,1.8368756699026498,1.0,0.27433628318584097,0.30088495575221197,0.21238938053097303,0.00884955752212389,12500.0,Não Informado,46.12,0.43
76,Vietnam,70,20,40,30,254,1.9013720884352499,2.17864121060732,2.5723403415607002,2.3942421788755297,0.16929133858267698,0.244094488188976,0.192913385826772,0.0275590551181102,1400.0,35.1,51.57,-0.26
77,Zambia,60,35,40,50,7,2.44948974278318,4.69041575982343,5.0,1.0,0.28571428571428603,0.28571428571428603,0.28571428571428603,0.14285714285714302,1350.0,11.5,Não Informado,-0.62
