,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
55,Portugal,63,27,31,104,2851,3.37677750594231,4.86949551930692,7.9803660078675405,3.8684772927929103,0.525780427920028,0.576289021396001,0.248333917923536,0.106278498772361,20580.0,57.8,56.83,0.49
56,Romania,90,30,42,90,3570,3.83241987500113,6.5206659271051395,9.810322122330609,5.401230190749629,0.5641456582633051,0.5784313725490201,0.289915966386555,0.113445378151261,8150.0,44.0,58.63,-1.55
57,Russia,93,39,36,95,10701,3.1482357103205496,5.33157774285604,8.35687198627119,4.55760256346279,0.517615176151762,0.48584244463134296,0.24053826745164003,0.0832632464255677,12700.0,49.0,50.44,-1.42
58,Saudi Arabia,95,25,60,80,328,3.5493401561351603,4.1725752284783795,10.9023525138199,4.88357991701413,0.411585365853659,0.5,0.155487804878049,0.0670731707317073,21210.0,47.5,39.48,0.15
59,Serbia,86,25,43,92,1294,3.49447562081375,5.37404176015886,9.085519392281778,4.91877824626867,0.519319938176198,0.523956723338485,0.247295208655332,0.0834621329211747,5280.0,42.2,Não Informado,-0.62
60,Sierra Leone,70,20,40,50,4,2.0,4.47213595499958,3.0,Não Informado,0.5,0.5,0.25,0.0,580.0,0.9,Não Informado,Não Informado
61,Singapore,74,20,48,8,2270,4.09322651920417,6.11237727798496,9.51504417756847,4.19323926101138,0.522907488986784,0.6013215859030839,0.27665198237885497,0.101321585903084,47210.0,71.0,59.58,Não Informado
62,Slovakia,104,52,110,51,861,4.0578608415774,6.998050686273411,11.805370410854302,4.9954488213227,0.570267131242741,0.579558652729384,0.315911730545877,0.13356562137049902,17180.0,74.4,55.96,-0.43
63,Slovenia,71,27,19,88,692,4.0737221014423195,6.80640627996472,11.4613369504021,4.60695612254217,0.61271676300578,0.628612716763006,0.33381502890173403,0.111271676300578,22810.0,69.0,60.6,0.36
64,South Africa,49,65,63,49,3726,3.61907381708215,5.21849104497459,9.34647706063567,3.5592226021378397,0.526570048309179,0.58695652173913,0.243156199677939,0.10896403650026801,7610.0,34.0,Não Informado,-0.1
65,South Korea,60,18,39,85,1784,2.8290435381992203,3.52660837799225,7.8962498033730695,4.41767306904929,0.31950672645739897,0.40695067264574,0.10650224215246601,0.0414798206278027,22670.0,83.8,53.62,-1.37
66,Spain,57,51,42,86,7349,3.1452859879224504,5.01851705207199,8.08126846281563,4.76082304777396,0.526330112940536,0.503333786909784,0.23458974010069397,0.0928017417335692,30110.0,67.6,57.18,0.54
