Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
292740805060052,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,290,989,3.41,2.98,653.94,666198.92,715.63,684969.86,394.49,369181.4,638.91,441903.89,NA
292740805060053,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,190,668,3.52,5.06,1649.85,120580219.94,1811.97,132202560.94,987.07,77220064.47,1606.04,124779885.58,NA
292740805060054,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,278,875,3.15,1.91,912.62,710331.44,979.56,696808.07,566.03,819173.36,870.73,995184.55,NA
292740805060055,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,190,596,3.14,2.32,1329.83,2139235.23,1435.61,2157645.31,774.72,1189355.46,1068.45,1326801.91,NA
292740805060056,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,323,1025,3.17,2.78,1076.05,2364616.43,1170.25,2461710.41,668.74,1601251.07,1003.67,2067839.99,NA
292740805060057,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,284,872,3.07,3.23,1678.38,6980806.39,2348.08,8199744.37,1001.28,4081018.16,1757.75,5838441.52,NA
292740805060058,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,143,406,2.84,2.43,3089.73,10067127.42,3272.83,10064438.08,1928.35,7292194.72,2602.94,8090097.32,NA
292740805060059,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,208,553,2.66,2.22,3384.02,11118637.94,3724.22,10968638.83,2133.28,9441599.42,2972.97,10664841.18,NA
292740805060060,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,382,824,2.16,1.28,2700.11,39245146.68,2989.69,42598018.65,1865.09,20746631.54,2401.06,25429560.55,NA
292740805060061,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,253,717,2.83,2.26,3136.11,9614985.19,3376.32,9540097.6,1870.83,6594962.79,2553.9,7259736.21,NA
292740805060062,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,357,1172,3.28,2.82,1967.86,6052482.28,2109.69,6189897.64,1160.34,6769639.97,1654.7,8838635.9,NA
292740805060063,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,194,674,3.47,3.98,900.54,5139605.01,1213.23,6554654.7,558.32,2174330.87,999.19,3454651.65,NA
292740805060064,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,265,875,3.3,3.33,795,2948032.73,892.69,3224253.86,508.8,2046527.81,890.09,3243690.17,NA
292740805060065,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,116,397,3.42,3.13,636.15,558505.95,709.55,570987.05,342.14,289084.67,618.69,351974.27,NA
292740805060066,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,220,656,2.98,2.77,966.26,3686508.73,1057.6,3939644.44,631.55,2312784.51,915.26,3094084.68,NA
292740805060067,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,231,730,3.16,2.91,400.71,360719.56,740.52,415414.38,337.15,304444.02,688.57,380048.8,NA
292740805060068,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,168,527,3.14,2.33,573.91,948570.32,771.34,1124000.72,383.6,588554.93,681.61,843711.28,NA
292740805060069,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,412,1057,2.57,1.85,5256.24,26851404,5427.49,26796634.35,3062.26,17513757.81,4161.76,19228584.44,NA
292740805060070,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,166,488,2.94,1.61,4846.64,16799356.4,5363.61,15811851.57,2836.08,11415044.85,3934.74,11514444.47,NA
292740805060071,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,272,766,2.82,2.15,4129.2,14662767.42,4370.21,14464562.48,2631.93,10683225.8,3376.03,11192376.16,NA
292740805060072,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,231,586,2.54,1.78,5728.18,71227150.93,5880.93,72232690.57,3509.79,38893662.83,4591.63,45931207.04,NA
292740805060073,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,115,321,2.79,2.08,3660,17278359.65,3933.64,17495810.17,2334.54,13816187.49,3217.88,16212241.2,NA
292740805060074,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,224,486,2.17,1.59,2766.54,12756082.43,3947.16,13544674.76,1802.86,8004384.96,3083.16,9747620.77,NA
292740805060075,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,219,568,2.59,1.46,4293.79,15227736.65,4564.75,14950466.9,2592.54,10991178.94,3541.19,11655335.67,NA
292740805060076,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,266,714,2.68,1.84,3761.84,14953988.57,4408.15,14672916.8,2441.01,10911524.01,3502.54,11940764.21,NA
292740805060077,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,210,622,2.96,1.5,5449.07,14293220.25,5750.27,13346531.82,3099.1,16249157.93,4347.55,17369976.93,NA
